                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.80679,                0.48278,                0.89515,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00056128,             0.00056128,             0.00056128
                    137,                0.87367,                0.49073,                0.89257,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00055303,             0.00055303,             0.00055303
                    138,                 0.8432,                 0.5063,                0.87893,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00054478,             0.00054478,             0.00054478
                    139,                0.85104,                0.49881,                0.90085,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00053652,             0.00053652,             0.00053652
                    140,                0.83493,                0.48448,                0.87788,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00052827,             0.00052827,             0.00052827
                    141,                0.82514,                 0.4737,                0.89251,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00052002,             0.00052002,             0.00052002
                    142,                 0.8059,                 0.4738,                0.88432,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                    143,                0.83749,                0.47496,                0.89697,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00050352,             0.00050352,             0.00050352
                    144,                0.86858,                 0.4934,                0.88032,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00049527,             0.00049527,             0.00049527
                    145,                0.83013,                0.46424,                  0.888,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00048701,             0.00048701,             0.00048701
                    146,                0.82095,                0.46782,                0.87482,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00047876,             0.00047876,             0.00047876
                    147,                0.79829,                 0.4546,                0.87033,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00047051,             0.00047051,             0.00047051
                    148,                0.84843,                0.48422,                0.88103,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00046226,             0.00046226,             0.00046226
                    149,                0.83349,                 0.4799,                0.89369,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00045401,             0.00045401,             0.00045401
                    150,                0.81104,                0.47475,                0.88339,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00044576,             0.00044576,             0.00044576
                    151,                0.84465,                0.48048,                0.88254,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0004375,              0.0004375,              0.0004375
                    152,                0.76289,                0.43741,                0.86959,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00042925,             0.00042925,             0.00042925
                    153,                0.85124,                0.47708,                0.88229,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,               0.000421,               0.000421,               0.000421
                    154,                0.82106,                0.47216,                 0.8828,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00041275,             0.00041275,             0.00041275
                    155,                0.79303,                0.45539,                0.86626,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0004045,              0.0004045,              0.0004045
                    156,                0.84898,                0.47294,                0.87871,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00039625,             0.00039625,             0.00039625
                    157,                0.79989,                0.46042,                0.87571,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00038799,             0.00038799,             0.00038799
                    158,                 0.7593,                0.43573,                0.87332,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00037974,             0.00037974,             0.00037974
                    159,                0.78293,                0.44569,                  0.876,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00037149,             0.00037149,             0.00037149
                    160,                0.78775,                0.46498,                  0.871,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00036324,             0.00036324,             0.00036324
